timestamp,sensor_type,x,y,z,w
1753148636548,TYPE_ACCELEROMETER,0.158017,3.040636,10.043676,
1753148636548,TYPE_ROTATION_VECTOR,0.097859,-0.057774,-0.669481,0.734085
1753148636549,TYPE_LINEAR_ACCELERATION,0.611158,0.873071,0.490314,
1753148636549,TYPE_MAGNETIC_FIELD,-61.32,-21.539999,-36.599998,
1753148636549,TYPE_ACCELEROMETER,0.23942,2.932897,10.067618,
1753148636549,TYPE_ROTATION_VECTOR,0.098161,-0.058319,-0.671029,0.732587
1753148636549,TYPE_LINEAR_ACCELERATION,0.693381,0.754932,0.516662,
1753148636549,TYPE_ACCELEROMETER,0.328006,2.779668,10.103531,
1753148636549,TYPE_ROTATION_VECTOR,0.09811,-0.058533,-0.671006,0.732598
1753148636549,TYPE_LINEAR_ACCELERATION,0.778154,0.599616,0.55287,
1753148636549,TYPE_MAGNETIC_FIELD,-61.919998,-22.199999,-35.82,
1753148636549,TYPE_ACCELEROMETER,0.442927,2.616863,10.225636,
1753148636549,TYPE_ROTATION_VECTOR,0.098057,-0.058734,-0.670984,0.732608
1753148636550,TYPE_LINEAR_ACCELERATION,0.889433,0.43494,0.67523,
1753148636550,TYPE_ACCELEROMETER,0.428562,2.557007,10.493786,
1753148636550,TYPE_ROTATION_VECTOR,0.097464,-0.05784,-0.67306,0.730853
1753148636550,TYPE_LINEAR_ACCELERATION,0.886068,0.396369,0.939064,
1753148636550,TYPE_ACCELEROMETER,0.237026,2.547431,10.85531,
1753148636550,TYPE_ROTATION_VECTOR,0.097419,-0.057978,-0.673046,0.730861
1753148636551,TYPE_LINEAR_ACCELERATION,0.691919,0.385626,1.300727,
1753148636551,TYPE_MAGNETIC_FIELD,-62.16,-22.32,-36.0,
1753148636551,TYPE_ACCELEROMETER,-0.059855,2.612074,11.209652,
1753148636551,TYPE_ROTATION_VECTOR,0.096484,-0.05465,-0.675975,0.728534
1753148636551,TYPE_LINEAR_ACCELERATION,0.438437,0.508864,1.644162,
1753148636551,TYPE_ACCELEROMETER,-0.500388,2.662352,11.520899,
1753148636551,TYPE_ROTATION_VECTOR,0.096473,-0.054688,-0.675971,0.728536
1753148636593,TYPE_LINEAR_ACCELERATION,-0.002783,0.558806,1.955447,
1753148636593,TYPE_MAGNETIC_FIELD,-62.52,-22.5,-35.82,
1753148636593,TYPE_ACCELEROMETER,-0.979228,2.743755,11.619061,
1753148636593,TYPE_ROTATION_VECTOR,0.096473,-0.054688,-0.675971,0.728536
1753148636593,TYPE_LINEAR_ACCELERATION,-0.481623,0.640209,2.053609,
1753148636593,TYPE_ACCELEROMETER,-1.434127,2.760514,11.523293,
1753148636593,TYPE_ROTATION_VECTOR,0.095926,-0.050654,-0.679302,0.725797
1753148636593,TYPE_LINEAR_ACCELERATION,-0.877144,0.720095,1.947446,
1753148636593,TYPE_ACCELEROMETER,-1.723825,2.722207,11.317391,
1753148636594,TYPE_ROTATION_VECTOR,0.095926,-0.050654,-0.679302,0.725797
1753148636594,TYPE_LINEAR_ACCELERATION,-1.166842,0.681788,1.741545,
1753148636594,TYPE_MAGNETIC_FIELD,-63.0,-23.219999,-35.279999,
1753148636607,TYPE_ACCELEROMETER,-1.910573,2.578555,11.135432,
1753148636607,TYPE_ROTATION_VECTOR,0.094231,-0.048084,-0.682339,0.723341
1753148636607,TYPE_LINEAR_ACCELERATION,-1.331665,0.598184,1.548285,
1753148636607,TYPE_ACCELEROMETER,-1.932121,2.32477,11.066,
1753148636608,TYPE_ROTATION_VECTOR,0.094231,-0.048084,-0.682339,0.723341
1753148636608,TYPE_LINEAR_ACCELERATION,-1.353213,0.344398,1.478853,
1753148636608,TYPE_ACCELEROMETER,-1.802834,2.047042,11.113884,
1753148636608,TYPE_MAGNETIC_FIELD,-63.0,-23.279999,-35.279999,
1753148636608,TYPE_ROTATION_VECTOR,0.094231,-0.048084,-0.682339,0.723341
1753148636608,TYPE_LINEAR_ACCELERATION,-1.223926,0.066671,1.526737,
1753148636608,TYPE_ACCELEROMETER,-1.570596,1.795651,11.288661,
1753148636608,TYPE_ROTATION_VECTOR,0.089728,-0.047297,-0.684542,0.721883
1753148636609,TYPE_LINEAR_ACCELERATION,-1.035553,-0.10979,1.683797,
1753148636609,TYPE_ACCELEROMETER,-1.362301,1.491588,11.535264,
1753148636609,TYPE_ROTATION_VECTOR,0.089728,-0.047297,-0.684542,0.721883
1753148636609,TYPE_LINEAR_ACCELERATION,-0.827257,-0.413853,1.9304,
1753148636609,TYPE_MAGNETIC_FIELD,-63.18,-23.519999,-34.98,
1753148636609,TYPE_ACCELEROMETER,-1.118092,1.175553,11.793838,
1753148636609,TYPE_ROTATION_VECTOR,0.083829,-0.047008,-0.685711,0.721501
1753148636610,TYPE_LINEAR_ACCELERATION,-0.655882,-0.642926,2.168357,
1753148636610,TYPE_ACCELEROMETER,-0.931344,0.885855,11.880029,
1753148636610,TYPE_ROTATION_VECTOR,0.083829,-0.047008,-0.685711,0.721501
1753148636610,TYPE_LINEAR_ACCELERATION,-0.469134,-0.932625,2.254548,
1753148636610,TYPE_ACCELEROMETER,-0.833182,0.651223,11.927913,
1753148636610,TYPE_MAGNETIC_FIELD,-63.059998,-23.219999,-34.5,
1753148636610,TYPE_ROTATION_VECTOR,0.083829,-0.047008,-0.685711,0.721501
1753148636610,TYPE_LINEAR_ACCELERATION,-0.370972,-1.167256,2.302432,
1753148636610,TYPE_ACCELEROMETER,-0.845153,0.538695,11.932701,
1753148636610,TYPE_ROTATION_VECTOR,0.078766,-0.046176,-0.68581,0.722031
1753148636611,TYPE_LINEAR_ACCELERATION,-0.439597,-1.197855,2.289553,
1753148636611,TYPE_ACCELEROMETER,-0.816423,0.507571,12.100295,
1753148636611,TYPE_ROTATION_VECTOR,0.078766,-0.046176,-0.68581,0.722031
1753148636611,TYPE_LINEAR_ACCELERATION,-0.410866,-1.228979,2.457147,
1753148636611,TYPE_MAGNETIC_FIELD,-63.66,-23.1,-34.259998,
1753148636611,TYPE_ACCELEROMETER,-0.68953,0.562637,12.303802,
1753148636611,TYPE_ROTATION_VECTOR,0.074599,-0.045571,-0.684511,0.723743
1753148636612,TYPE_LINEAR_ACCELERATION,-0.334873,-1.108104,2.647032,
1753148636612,TYPE_ACCELEROMETER,-0.620098,0.656011,12.382812,
1753148636612,TYPE_ROTATION_VECTOR,0.074599,-0.045571,-0.684511,0.723743
1753148636612,TYPE_LINEAR_ACCELERATION,-0.265441,-1.01473,2.726041,
1753148636612,TYPE_MAGNETIC_FIELD,-64.559998,-23.16,-33.66,
1753148636612,TYPE_ACCELEROMETER,-0.474052,0.826,12.389994,
1753148636612,TYPE_ROTATION_VECTOR,0.074599,-0.045571,-0.684511,0.723743
1753148636613,TYPE_LINEAR_ACCELERATION,-0.119395,-0.844742,2.733223,
1753148636613,TYPE_ACCELEROMETER,-0.371101,1.089362,12.160151,
