timestamp,sensor_type,x,y,z,w
1753148641739,TYPE_ACCELEROMETER,-1.221043,1.472434,6.555324,
1753148641739,TYPE_ROTATION_VECTOR,0.11398,-0.074451,-0.752901,0.643899
1753148641779,TYPE_LINEAR_ACCELERATION,-0.478164,-1.06643,-2.887805,
1753148641779,TYPE_MAGNETIC_FIELD,-60.959999,-3.9,-22.68,
1753148641779,TYPE_ACCELEROMETER,-1.015141,1.434127,6.952762,
1753148641780,TYPE_ROTATION_VECTOR,0.113884,-0.074375,-0.752914,0.643909
1753148641780,TYPE_LINEAR_ACCELERATION,-0.272705,-1.102439,-2.49102,
1753148641780,TYPE_ACCELEROMETER,-0.739808,1.256956,7.637504,
1753148641780,TYPE_ROTATION_VECTOR,0.113005,-0.079645,-0.756989,0.638635
1753148641782,TYPE_LINEAR_ACCELERATION,-0.059635,-1.341005,-1.79427,
1753148641782,TYPE_ACCELEROMETER,-0.514753,1.134852,8.451532,
1753148641782,TYPE_ROTATION_VECTOR,0.113005,-0.079645,-0.756989,0.638635
1753148641782,TYPE_LINEAR_ACCELERATION,0.16542,-1.463109,-0.980241,
1753148641782,TYPE_MAGNETIC_FIELD,-60.539997,-4.56,-23.1,
1753148641782,TYPE_ACCELEROMETER,-0.306458,1.108515,9.241618,
1753148641782,TYPE_ROTATION_VECTOR,0.109514,-0.083653,-0.76122,0.633682
1753148641783,TYPE_LINEAR_ACCELERATION,0.2889,-1.50153,-0.192554,
1753148641783,TYPE_ACCELEROMETER,-0.117316,1.082179,9.720459,
1753148641783,TYPE_ROTATION_VECTOR,0.109459,-0.083599,-0.761229,0.633688
1753148641783,TYPE_LINEAR_ACCELERATION,0.477903,-1.5264,0.285872,
1753148641783,TYPE_MAGNETIC_FIELD,-61.02,-5.52,-23.279999,
1753148641783,TYPE_ACCELEROMETER,0.150835,0.967257,10.010158,
1753148641783,TYPE_ROTATION_VECTOR,0.109343,-0.083498,-0.761246,0.633701
1753148641784,TYPE_LINEAR_ACCELERATION,0.745604,-1.63843,0.574744,
1753148641784,TYPE_ACCELEROMETER,0.351948,0.869095,10.110714,
1753148641784,TYPE_ROTATION_VECTOR,0.105928,-0.086391,-0.765455,0.628804
1753148641784,TYPE_LINEAR_ACCELERATION,0.876807,-1.734308,0.670523,
1753148641784,TYPE_ACCELEROMETER,0.54109,0.749385,10.177752,
1753148641784,TYPE_ROTATION_VECTOR,0.105676,-0.0862,-0.765488,0.628833
1753148641785,TYPE_LINEAR_ACCELERATION,1.064531,-1.848153,0.735867,
1753148641785,TYPE_MAGNETIC_FIELD,-61.32,-6.36,-23.16,
1753148641785,TYPE_ACCELEROMETER,0.696713,0.656011,10.383653,
1753148641785,TYPE_ROTATION_VECTOR,0.102563,-0.087824,-0.770034,0.623551
1753148641785,TYPE_LINEAR_ACCELERATION,1.171628,-1.924724,0.934597,
1753148641786,TYPE_ACCELEROMETER,0.770933,0.629675,10.620679,
1753148641786,TYPE_ROTATION_VECTOR,0.102114,-0.087537,-0.770083,0.623604
1753148641786,TYPE_LINEAR_ACCELERATION,1.242601,-1.94142,1.168834,
1753148641803,TYPE_MAGNETIC_FIELD,-61.379997,-7.14,-22.5,
1753148641803,TYPE_ACCELEROMETER,0.732626,0.720655,10.862494,
1753148641803,TYPE_ROTATION_VECTOR,0.101539,-0.087198,-0.770142,0.623672
1753148641803,TYPE_LINEAR_ACCELERATION,1.19975,-1.83852,1.407188,
1753148641803,TYPE_ACCELEROMETER,0.586579,0.842759,11.018116,
1753148641803,TYPE_ROTATION_VECTOR,0.099562,-0.087314,-0.775201,0.617679
1753148641804,TYPE_LINEAR_ACCELERATION,1.042562,-1.690957,1.555413,
1753148641804,TYPE_ACCELEROMETER,0.462081,0.940921,10.953473,
